"Start time UTC","End time UTC","Price of the last activated up-regulation bid - real time data"
"2021-01-13T14:00:00.000Z","2021-01-13T15:00:00.000Z","79"
"2021-01-15T04:00:00.000Z","2021-01-15T05:00:00.000Z","142"
"2021-01-15T05:00:00.000Z","2021-01-15T06:00:00.000Z","142"
"2021-01-15T06:00:00.000Z","2021-01-15T07:00:00.000Z","999"
"2021-01-15T07:00:00.000Z","2021-01-15T08:00:00.000Z","365"
"2021-01-15T08:00:00.000Z","2021-01-15T09:00:00.000Z","520"
"2021-01-15T09:00:00.000Z","2021-01-15T10:00:00.000Z","520"
"2021-01-15T10:00:00.000Z","2021-01-15T11:00:00.000Z","300"
"2021-01-15T11:00:00.000Z","2021-01-15T12:00:00.000Z","230"
"2021-01-15T12:00:00.000Z","2021-01-15T13:00:00.000Z","158"
"2021-01-15T15:00:00.000Z","2021-01-15T16:00:00.000Z","500"
"2021-01-15T16:00:00.000Z","2021-01-15T17:00:00.000Z","195"
"2021-01-15T17:00:00.000Z","2021-01-15T18:00:00.000Z","115"
"2021-01-17T08:00:00.000Z","2021-01-17T09:00:00.000Z","60"
"2021-01-18T21:00:00.000Z","2021-01-18T22:00:00.000Z","78.79999"
"2021-01-19T04:00:00.000Z","2021-01-19T05:00:00.000Z","119"
"2021-01-19T05:00:00.000Z","2021-01-19T06:00:00.000Z","85"
"2021-01-22T04:00:00.000Z","2021-01-22T05:00:00.000Z","51.6"
"2021-01-22T05:00:00.000Z","2021-01-22T06:00:00.000Z","53"
"2021-02-03T04:00:00.000Z","2021-02-03T05:00:00.000Z","113"
"2021-02-03T05:00:00.000Z","2021-02-03T06:00:00.000Z","163"
"2021-02-03T06:00:00.000Z","2021-02-03T07:00:00.000Z","142"
"2021-02-04T05:00:00.000Z","2021-02-04T06:00:00.000Z","90"
"2021-02-04T08:00:00.000Z","2021-02-04T09:00:00.000Z","222"
"2021-02-10T17:00:00.000Z","2021-02-10T18:00:00.000Z","260"
"2021-02-10T18:00:00.000Z","2021-02-10T19:00:00.000Z","112.7"
"2021-02-10T19:00:00.000Z","2021-02-10T20:00:00.000Z","87.59999"
"2021-02-10T20:00:00.000Z","2021-02-10T21:00:00.000Z","75"
"2021-02-10T21:00:00.000Z","2021-02-10T22:00:00.000Z","68"
"2021-02-11T03:00:00.000Z","2021-02-11T04:00:00.000Z","89"
"2021-02-11T04:00:00.000Z","2021-02-11T05:00:00.000Z","118"
"2021-02-11T05:00:00.000Z","2021-02-11T06:00:00.000Z","100"
"2021-02-11T09:00:00.000Z","2021-02-11T10:00:00.000Z","258"
"2021-02-11T10:00:00.000Z","2021-02-11T11:00:00.000Z","121.8"
"2021-02-11T12:00:00.000Z","2021-02-11T13:00:00.000Z","118"
"2021-02-17T03:00:00.000Z","2021-02-17T04:00:00.000Z","78"
"2021-02-17T04:00:00.000Z","2021-02-17T05:00:00.000Z","248"
"2021-02-17T05:00:00.000Z","2021-02-17T06:00:00.000Z","400"
"2021-02-19T13:00:00.000Z","2021-02-19T14:00:00.000Z","99.54999"
"2021-02-19T14:00:00.000Z","2021-02-19T15:00:00.000Z","78"
"2021-02-22T09:00:00.000Z","2021-02-22T10:00:00.000Z","57"
"2021-02-22T10:00:00.000Z","2021-02-22T11:00:00.000Z","62.79999"
"2021-02-22T11:00:00.000Z","2021-02-22T12:00:00.000Z","62.79999"
"2021-02-22T12:00:00.000Z","2021-02-22T13:00:00.000Z","57"
"2021-02-22T13:00:00.000Z","2021-02-22T14:00:00.000Z","67"
"2021-02-22T14:00:00.000Z","2021-02-22T15:00:00.000Z","64.4"
"2021-02-23T10:00:00.000Z","2021-02-23T11:00:00.000Z","72"
"2021-02-23T11:00:00.000Z","2021-02-23T12:00:00.000Z","66.2"
"2021-02-23T12:00:00.000Z","2021-02-23T13:00:00.000Z","78"
"2021-02-23T13:00:00.000Z","2021-02-23T14:00:00.000Z","70"
"2021-02-23T14:00:00.000Z","2021-02-23T15:00:00.000Z","63"
"2021-02-23T15:00:00.000Z","2021-02-23T16:00:00.000Z","66.2"
"2021-02-23T17:00:00.000Z","2021-02-23T18:00:00.000Z","78"
"2021-02-23T18:00:00.000Z","2021-02-23T19:00:00.000Z","128"
"2021-02-23T19:00:00.000Z","2021-02-23T20:00:00.000Z","118"
"2021-02-23T22:00:00.000Z","2021-02-23T23:00:00.000Z","58"
"2021-02-24T00:00:00.000Z","2021-02-24T01:00:00.000Z","53"
"2021-02-24T01:00:00.000Z","2021-02-24T02:00:00.000Z","53"
"2021-02-24T03:00:00.000Z","2021-02-24T04:00:00.000Z","85"
"2021-02-24T04:00:00.000Z","2021-02-24T05:00:00.000Z","260"
"2021-02-24T05:00:00.000Z","2021-02-24T06:00:00.000Z","79"
"2021-02-24T06:00:00.000Z","2021-02-24T07:00:00.000Z","81"
"2021-02-24T09:00:00.000Z","2021-02-24T10:00:00.000Z","75"
"2021-02-24T10:00:00.000Z","2021-02-24T11:00:00.000Z","64.79999"
"2021-02-24T11:00:00.000Z","2021-02-24T12:00:00.000Z","42"
"2021-02-24T15:00:00.000Z","2021-02-24T16:00:00.000Z","51"
"2021-02-24T16:00:00.000Z","2021-02-24T17:00:00.000Z","100"
"2021-02-24T17:00:00.000Z","2021-02-24T18:00:00.000Z","94.45"
"2021-02-24T18:00:00.000Z","2021-02-24T19:00:00.000Z","54"
"2021-02-25T16:00:00.000Z","2021-02-25T17:00:00.000Z","64.79999"
"2021-02-25T17:00:00.000Z","2021-02-25T18:00:00.000Z","55"
"2021-03-09T04:00:00.000Z","2021-03-09T05:00:00.000Z","97"
"2021-03-12T07:00:00.000Z","2021-03-12T08:00:00.000Z","188"
"2021-03-12T08:00:00.000Z","2021-03-12T09:00:00.000Z","280"
"2021-03-12T09:00:00.000Z","2021-03-12T10:00:00.000Z","87"
"2021-03-12T10:00:00.000Z","2021-03-12T11:00:00.000Z","79"
"2021-03-12T11:00:00.000Z","2021-03-12T12:00:00.000Z","158"
"2021-03-12T12:00:00.000Z","2021-03-12T13:00:00.000Z","100"
"2021-03-12T13:00:00.000Z","2021-03-12T14:00:00.000Z","98"
"2021-03-12T14:00:00.000Z","2021-03-12T15:00:00.000Z","80"
"2021-03-12T15:00:00.000Z","2021-03-12T16:00:00.000Z","68.59999"
"2021-03-12T16:00:00.000Z","2021-03-12T17:00:00.000Z","58"
"2021-03-12T17:00:00.000Z","2021-03-12T18:00:00.000Z","98"
"2021-03-29T12:00:00.000Z","2021-03-29T13:00:00.000Z","44"
"2021-03-29T13:00:00.000Z","2021-03-29T14:00:00.000Z","36.7"
"2021-04-03T06:00:00.000Z","2021-04-03T07:00:00.000Z","42"
"2021-04-03T19:00:00.000Z","2021-04-03T20:00:00.000Z","29.8"
"2021-04-06T05:00:00.000Z","2021-04-06T06:00:00.000Z","74.01"
"2021-04-06T07:00:00.000Z","2021-04-06T08:00:00.000Z","280"
"2021-04-06T08:00:00.000Z","2021-04-06T09:00:00.000Z","150"
"2021-04-06T09:00:00.000Z","2021-04-06T10:00:00.000Z","118"
"2021-04-06T15:00:00.000Z","2021-04-06T16:00:00.000Z","79"
"2021-04-06T21:00:00.000Z","2021-04-06T22:00:00.000Z","47.5"
"2021-04-07T03:00:00.000Z","2021-04-07T04:00:00.000Z","73"
"2021-04-09T07:00:00.000Z","2021-04-09T08:00:00.000Z","66"
"2021-04-09T08:00:00.000Z","2021-04-09T09:00:00.000Z","94"
"2021-04-09T09:00:00.000Z","2021-04-09T10:00:00.000Z","79"
"2021-04-09T10:00:00.000Z","2021-04-09T11:00:00.000Z","53"
"2021-04-09T11:00:00.000Z","2021-04-09T12:00:00.000Z","39.5"
"2021-04-09T15:00:00.000Z","2021-04-09T16:00:00.000Z","47"
"2021-04-09T16:00:00.000Z","2021-04-09T17:00:00.000Z","53"
"2021-04-12T14:00:00.000Z","2021-04-12T15:00:00.000Z","74.79999"
"2021-04-13T07:00:00.000Z","2021-04-13T08:00:00.000Z","118"
"2021-04-23T07:00:00.000Z","2021-04-23T08:00:00.000Z","73"
"2021-04-23T08:00:00.000Z","2021-04-23T09:00:00.000Z","84.9"
"2021-04-23T09:00:00.000Z","2021-04-23T10:00:00.000Z","149"
"2021-04-23T10:00:00.000Z","2021-04-23T11:00:00.000Z","149"
"2021-04-23T11:00:00.000Z","2021-04-23T12:00:00.000Z","90"
"2021-04-23T14:00:00.000Z","2021-04-23T15:00:00.000Z","73"
"2021-04-23T15:00:00.000Z","2021-04-23T16:00:00.000Z","50"
"2021-04-23T16:00:00.000Z","2021-04-23T17:00:00.000Z","81.9"
"2021-04-23T17:00:00.000Z","2021-04-23T18:00:00.000Z","81.9"
"2021-04-24T13:00:00.000Z","2021-04-24T14:00:00.000Z","28.8"
"2021-04-27T14:00:00.000Z","2021-04-27T15:00:00.000Z","98"
"2021-04-27T15:00:00.000Z","2021-04-27T16:00:00.000Z","86"
"2021-04-27T16:00:00.000Z","2021-04-27T17:00:00.000Z","86"
"2021-05-05T04:00:00.000Z","2021-05-05T05:00:00.000Z","102"
"2021-05-05T05:00:00.000Z","2021-05-05T06:00:00.000Z","188"
"2021-05-05T06:00:00.000Z","2021-05-05T07:00:00.000Z","143"
"2021-05-05T16:00:00.000Z","2021-05-05T17:00:00.000Z","119"
"2021-05-06T05:00:00.000Z","2021-05-06T06:00:00.000Z","118"
"2021-05-06T07:00:00.000Z","2021-05-06T08:00:00.000Z","98"
"2021-05-06T08:00:00.000Z","2021-05-06T09:00:00.000Z","168"
"2021-05-06T09:00:00.000Z","2021-05-06T10:00:00.000Z","168"
"2021-05-06T10:00:00.000Z","2021-05-06T11:00:00.000Z","150"
"2021-05-06T11:00:00.000Z","2021-05-06T12:00:00.000Z","150"
"2021-05-07T11:00:00.000Z","2021-05-07T12:00:00.000Z","88"
"2021-05-07T16:00:00.000Z","2021-05-07T17:00:00.000Z","150"
"2021-05-11T05:00:00.000Z","2021-05-11T06:00:00.000Z","108"
"2021-05-11T06:00:00.000Z","2021-05-11T07:00:00.000Z","109"
"2021-05-12T06:00:00.000Z","2021-05-12T07:00:00.000Z","100"
"2021-05-12T07:00:00.000Z","2021-05-12T08:00:00.000Z","100"
"2021-05-12T16:00:00.000Z","2021-05-12T17:00:00.000Z","90"
"2021-05-13T16:00:00.000Z","2021-05-13T17:00:00.000Z","168"
"2021-05-15T16:00:00.000Z","2021-05-15T17:00:00.000Z","100"
"2021-05-15T17:00:00.000Z","2021-05-15T18:00:00.000Z","100"
"2021-05-15T18:00:00.000Z","2021-05-15T19:00:00.000Z","79.06"
"2021-05-17T08:00:00.000Z","2021-05-17T09:00:00.000Z","109.62"
"2021-05-17T09:00:00.000Z","2021-05-17T10:00:00.000Z","109"
"2021-05-17T10:00:00.000Z","2021-05-17T11:00:00.000Z","449.05"
"2021-05-17T11:00:00.000Z","2021-05-17T12:00:00.000Z","300"
"2021-05-17T17:00:00.000Z","2021-05-17T18:00:00.000Z","188"
"2021-05-22T04:00:00.000Z","2021-05-22T05:00:00.000Z","50"
"2021-05-22T05:00:00.000Z","2021-05-22T06:00:00.000Z","60"
"2021-05-22T06:00:00.000Z","2021-05-22T07:00:00.000Z","280"
"2021-05-22T07:00:00.000Z","2021-05-22T08:00:00.000Z","280"
"2021-05-22T08:00:00.000Z","2021-05-22T09:00:00.000Z","188"
"2021-05-22T11:00:00.000Z","2021-05-22T12:00:00.000Z","90"
"2021-05-22T12:00:00.000Z","2021-05-22T13:00:00.000Z","118"
"2021-05-22T13:00:00.000Z","2021-05-22T14:00:00.000Z","143"
"2021-05-24T05:00:00.000Z","2021-05-24T06:00:00.000Z","80"
"2021-05-24T21:00:00.000Z","2021-05-24T22:00:00.000Z","118"
