"Start time UTC","End time UTC","Down-regulation bids, price of the last activated - real time data"
"2021-02-09T05:00:00.000Z","2021-02-09T06:00:00.000Z","53"
"2021-02-09T06:00:00.000Z","2021-02-09T07:00:00.000Z","53"
"2021-02-17T06:00:00.000Z","2021-02-17T07:00:00.000Z","48.29999"
"2021-02-17T14:00:00.000Z","2021-02-17T15:00:00.000Z","43"
"2021-06-05T21:00:00.000Z","2021-06-05T22:00:00.000Z","0"
"2021-06-05T22:00:00.000Z","2021-06-05T23:00:00.000Z","0"
"2021-06-05T23:00:00.000Z","2021-06-06T00:00:00.000Z","0"
"2021-06-06T00:00:00.000Z","2021-06-06T01:00:00.000Z","0"
"2021-06-06T01:00:00.000Z","2021-06-06T02:00:00.000Z","0"
"2021-06-06T02:00:00.000Z","2021-06-06T03:00:00.000Z","0"
"2021-06-06T03:00:00.000Z","2021-06-06T04:00:00.000Z","0"
"2021-06-06T04:00:00.000Z","2021-06-06T05:00:00.000Z","0"
"2021-06-06T05:00:00.000Z","2021-06-06T06:00:00.000Z","0"
"2021-06-06T06:00:00.000Z","2021-06-06T07:00:00.000Z","0"
"2021-06-06T07:00:00.000Z","2021-06-06T08:00:00.000Z","0"
"2021-06-06T08:00:00.000Z","2021-06-06T09:00:00.000Z","0"
"2021-06-06T09:00:00.000Z","2021-06-06T10:00:00.000Z","0"
"2021-06-06T10:00:00.000Z","2021-06-06T11:00:00.000Z","0"
"2021-06-06T11:00:00.000Z","2021-06-06T12:00:00.000Z","0"
"2021-06-06T12:00:00.000Z","2021-06-06T13:00:00.000Z","0"
"2021-06-06T13:00:00.000Z","2021-06-06T14:00:00.000Z","0"
"2021-06-06T14:00:00.000Z","2021-06-06T15:00:00.000Z","0"
"2021-06-06T15:00:00.000Z","2021-06-06T16:00:00.000Z","0"
"2021-06-06T16:00:00.000Z","2021-06-06T17:00:00.000Z","0"
"2021-06-06T17:00:00.000Z","2021-06-06T18:00:00.000Z","0"
"2021-06-06T18:00:00.000Z","2021-06-06T19:00:00.000Z","0"
"2021-06-06T19:00:00.000Z","2021-06-06T20:00:00.000Z","0"
"2021-06-06T20:00:00.000Z","2021-06-06T21:00:00.000Z","0"
"2021-06-06T21:00:00.000Z","2021-06-06T22:00:00.000Z","0"
"2021-06-06T22:00:00.000Z","2021-06-06T23:00:00.000Z","0"
"2021-06-06T23:00:00.000Z","2021-06-07T00:00:00.000Z","0"
"2021-06-07T00:00:00.000Z","2021-06-07T01:00:00.000Z","0"
"2021-06-07T01:00:00.000Z","2021-06-07T02:00:00.000Z","0"
"2021-06-07T02:00:00.000Z","2021-06-07T03:00:00.000Z","0"
"2021-06-07T03:00:00.000Z","2021-06-07T04:00:00.000Z","0"
"2021-06-07T04:00:00.000Z","2021-06-07T05:00:00.000Z","0"
"2021-06-07T05:00:00.000Z","2021-06-07T06:00:00.000Z","0"
"2021-06-07T06:00:00.000Z","2021-06-07T07:00:00.000Z","0"
"2021-06-07T07:00:00.000Z","2021-06-07T08:00:00.000Z","0"
"2021-06-07T08:00:00.000Z","2021-06-07T09:00:00.000Z","0"
"2021-06-07T09:00:00.000Z","2021-06-07T10:00:00.000Z","0"
"2021-06-07T10:00:00.000Z","2021-06-07T11:00:00.000Z","0"
"2021-06-07T11:00:00.000Z","2021-06-07T12:00:00.000Z","0"
"2021-06-07T12:00:00.000Z","2021-06-07T13:00:00.000Z","0"
"2021-06-07T13:00:00.000Z","2021-06-07T14:00:00.000Z","0"
"2021-06-07T14:00:00.000Z","2021-06-07T15:00:00.000Z","0"
"2021-06-07T15:00:00.000Z","2021-06-07T16:00:00.000Z","0"
"2021-06-07T16:00:00.000Z","2021-06-07T17:00:00.000Z","0"
"2021-06-07T17:00:00.000Z","2021-06-07T18:00:00.000Z","0"
"2021-06-07T18:00:00.000Z","2021-06-07T19:00:00.000Z","0"
"2021-06-07T19:00:00.000Z","2021-06-07T20:00:00.000Z","0"
"2021-06-07T20:00:00.000Z","2021-06-07T21:00:00.000Z","0"
"2021-06-07T21:00:00.000Z","2021-06-07T22:00:00.000Z","0"
"2021-06-07T22:00:00.000Z","2021-06-07T23:00:00.000Z","0"
"2021-06-07T23:00:00.000Z","2021-06-08T00:00:00.000Z","0"
"2021-06-08T00:00:00.000Z","2021-06-08T01:00:00.000Z","0"
"2021-06-08T01:00:00.000Z","2021-06-08T02:00:00.000Z","0"
"2021-06-08T02:00:00.000Z","2021-06-08T03:00:00.000Z","0"
"2021-06-08T03:00:00.000Z","2021-06-08T04:00:00.000Z","0"
"2021-06-08T04:00:00.000Z","2021-06-08T05:00:00.000Z","0"
"2021-06-08T05:00:00.000Z","2021-06-08T06:00:00.000Z","0"
"2021-06-08T06:00:00.000Z","2021-06-08T07:00:00.000Z","0"
"2021-06-08T07:00:00.000Z","2021-06-08T08:00:00.000Z","0"
"2021-06-08T08:00:00.000Z","2021-06-08T09:00:00.000Z","0"
"2021-06-08T09:00:00.000Z","2021-06-08T10:00:00.000Z","0"
"2021-06-08T10:00:00.000Z","2021-06-08T11:00:00.000Z","0"
