"Start time UTC","End time UTC","Automatic Frequency Restoration Reserve, price, down"
"2020-12-31T21:00:00.000Z","2020-12-31T22:00:00.000Z","19.321"
"2020-12-31T22:00:00.000Z","2020-12-31T23:00:00.000Z","18.875"
"2020-12-31T23:00:00.000Z","2021-01-01T00:00:00.000Z","22.21699"
"2021-01-01T00:00:00.000Z","2021-01-01T01:00:00.000Z","0"
"2021-01-01T01:00:00.000Z","2021-01-01T02:00:00.000Z","0"
"2021-01-01T02:00:00.000Z","2021-01-01T03:00:00.000Z","0"
"2021-01-01T03:00:00.000Z","2021-01-01T04:00:00.000Z","0"
"2021-01-01T04:00:00.000Z","2021-01-01T05:00:00.000Z","30.28099"
"2021-01-01T05:00:00.000Z","2021-01-01T06:00:00.000Z","29.579"
"2021-01-01T06:00:00.000Z","2021-01-01T07:00:00.000Z","30.28099"
"2021-01-01T07:00:00.000Z","2021-01-01T08:00:00.000Z","31.186"
"2021-01-01T08:00:00.000Z","2021-01-01T09:00:00.000Z","0"
"2021-01-01T09:00:00.000Z","2021-01-01T10:00:00.000Z","0"
"2021-01-01T10:00:00.000Z","2021-01-01T11:00:00.000Z","0"
"2021-01-01T11:00:00.000Z","2021-01-01T12:00:00.000Z","0"
"2021-01-01T12:00:00.000Z","2021-01-01T13:00:00.000Z","21.131"
"2021-01-01T13:00:00.000Z","2021-01-01T14:00:00.000Z","21.231"
"2021-01-01T14:00:00.000Z","2021-01-01T15:00:00.000Z","21.289"
"2021-01-01T15:00:00.000Z","2021-01-01T16:00:00.000Z","21.459"
"2021-01-01T16:00:00.000Z","2021-01-01T17:00:00.000Z","21.38899"
"2021-01-01T17:00:00.000Z","2021-01-01T18:00:00.000Z","21.128"
"2021-01-01T18:00:00.000Z","2021-01-01T19:00:00.000Z","20.14399"
"2021-01-01T19:00:00.000Z","2021-01-01T20:00:00.000Z","20.18499"
"2021-01-01T20:00:00.000Z","2021-01-01T21:00:00.000Z","20.991"
"2021-01-01T21:00:00.000Z","2021-01-01T22:00:00.000Z","22.11499"
"2021-01-01T22:00:00.000Z","2021-01-01T23:00:00.000Z","22.138"
"2021-01-01T23:00:00.000Z","2021-01-02T00:00:00.000Z","23.962"
"2021-01-02T00:00:00.000Z","2021-01-02T01:00:00.000Z","0"
"2021-01-02T01:00:00.000Z","2021-01-02T02:00:00.000Z","0"
"2021-01-02T02:00:00.000Z","2021-01-02T03:00:00.000Z","0"
"2021-01-02T03:00:00.000Z","2021-01-02T04:00:00.000Z","0"
"2021-01-02T04:00:00.000Z","2021-01-02T05:00:00.000Z","0"
"2021-01-02T05:00:00.000Z","2021-01-02T06:00:00.000Z","0"
"2021-01-02T06:00:00.000Z","2021-01-02T07:00:00.000Z","29.006"
"2021-01-02T07:00:00.000Z","2021-01-02T08:00:00.000Z","29.803"
"2021-01-02T08:00:00.000Z","2021-01-02T09:00:00.000Z","29.797"
"2021-01-02T09:00:00.000Z","2021-01-02T10:00:00.000Z","0"
"2021-01-02T10:00:00.000Z","2021-01-02T11:00:00.000Z","0"
"2021-01-02T11:00:00.000Z","2021-01-02T12:00:00.000Z","0"
"2021-01-02T12:00:00.000Z","2021-01-02T13:00:00.000Z","0"
"2021-01-02T13:00:00.000Z","2021-01-02T14:00:00.000Z","0"
"2021-01-02T14:00:00.000Z","2021-01-02T15:00:00.000Z","0"
"2021-01-02T15:00:00.000Z","2021-01-02T16:00:00.000Z","23.77499"
"2021-01-02T16:00:00.000Z","2021-01-02T17:00:00.000Z","23.625"
"2021-01-02T17:00:00.000Z","2021-01-02T18:00:00.000Z","24.35"
"2021-01-02T18:00:00.000Z","2021-01-02T19:00:00.000Z","22.366"
"2021-01-02T19:00:00.000Z","2021-01-02T20:00:00.000Z","23.393"
"2021-01-02T20:00:00.000Z","2021-01-02T21:00:00.000Z","21.861"
"2021-01-02T21:00:00.000Z","2021-01-02T22:00:00.000Z","23.41499"
"2021-01-02T22:00:00.000Z","2021-01-02T23:00:00.000Z","23.51"
