"Start time UTC","End time UTC","Automatic Frequency Restoration Reserve, price, up"
"2020-12-31T21:00:00.000Z","2020-12-31T22:00:00.000Z","19.20799"
"2020-12-31T22:00:00.000Z","2020-12-31T23:00:00.000Z","15.076"
"2020-12-31T23:00:00.000Z","2021-01-01T00:00:00.000Z","20.51599"
"2021-01-01T00:00:00.000Z","2021-01-01T01:00:00.000Z","0"
"2021-01-01T01:00:00.000Z","2021-01-01T02:00:00.000Z","0"
"2021-01-01T02:00:00.000Z","2021-01-01T03:00:00.000Z","0"
"2021-01-01T03:00:00.000Z","2021-01-01T04:00:00.000Z","0"
"2021-01-01T04:00:00.000Z","2021-01-01T05:00:00.000Z","25.32799"
"2021-01-01T05:00:00.000Z","2021-01-01T06:00:00.000Z","25.55"
"2021-01-01T06:00:00.000Z","2021-01-01T07:00:00.000Z","25.776"
"2021-01-01T07:00:00.000Z","2021-01-01T08:00:00.000Z","25.22299"
"2021-01-01T08:00:00.000Z","2021-01-01T09:00:00.000Z","0"
"2021-01-01T09:00:00.000Z","2021-01-01T10:00:00.000Z","0"
"2021-01-01T10:00:00.000Z","2021-01-01T11:00:00.000Z","0"
"2021-01-01T11:00:00.000Z","2021-01-01T12:00:00.000Z","0"
"2021-01-01T12:00:00.000Z","2021-01-01T13:00:00.000Z","20.87999"
"2021-01-01T13:00:00.000Z","2021-01-01T14:00:00.000Z","19.084"
"2021-01-01T14:00:00.000Z","2021-01-01T15:00:00.000Z","19.3"
"2021-01-01T15:00:00.000Z","2021-01-01T16:00:00.000Z","19.3"
"2021-01-01T16:00:00.000Z","2021-01-01T17:00:00.000Z","19.3"
"2021-01-01T17:00:00.000Z","2021-01-01T18:00:00.000Z","19.3"
"2021-01-01T18:00:00.000Z","2021-01-01T19:00:00.000Z","19.3"
"2021-01-01T19:00:00.000Z","2021-01-01T20:00:00.000Z","18.788"
"2021-01-01T20:00:00.000Z","2021-01-01T21:00:00.000Z","19.04799"
"2021-01-01T21:00:00.000Z","2021-01-01T22:00:00.000Z","19.34199"
"2021-01-01T22:00:00.000Z","2021-01-01T23:00:00.000Z","17.856"
"2021-01-01T23:00:00.000Z","2021-01-02T00:00:00.000Z","20.416"
"2021-01-02T00:00:00.000Z","2021-01-02T01:00:00.000Z","0"
"2021-01-02T01:00:00.000Z","2021-01-02T02:00:00.000Z","0"
"2021-01-02T02:00:00.000Z","2021-01-02T03:00:00.000Z","0"
"2021-01-02T03:00:00.000Z","2021-01-02T04:00:00.000Z","0"
"2021-01-02T04:00:00.000Z","2021-01-02T05:00:00.000Z","0"
"2021-01-02T05:00:00.000Z","2021-01-02T06:00:00.000Z","0"
"2021-01-02T06:00:00.000Z","2021-01-02T07:00:00.000Z","17.6"
"2021-01-02T07:00:00.000Z","2021-01-02T08:00:00.000Z","17.6"
"2021-01-02T08:00:00.000Z","2021-01-02T09:00:00.000Z","17.6"
"2021-01-02T09:00:00.000Z","2021-01-02T10:00:00.000Z","0"
"2021-01-02T10:00:00.000Z","2021-01-02T11:00:00.000Z","0"
"2021-01-02T11:00:00.000Z","2021-01-02T12:00:00.000Z","0"
"2021-01-02T12:00:00.000Z","2021-01-02T13:00:00.000Z","0"
"2021-01-02T13:00:00.000Z","2021-01-02T14:00:00.000Z","0"
"2021-01-02T14:00:00.000Z","2021-01-02T15:00:00.000Z","0"
"2021-01-02T15:00:00.000Z","2021-01-02T16:00:00.000Z","20.89199"
"2021-01-02T16:00:00.000Z","2021-01-02T17:00:00.000Z","20.875"
"2021-01-02T17:00:00.000Z","2021-01-02T18:00:00.000Z","19.742"
"2021-01-02T18:00:00.000Z","2021-01-02T19:00:00.000Z","21.108"
"2021-01-02T19:00:00.000Z","2021-01-02T20:00:00.000Z","20.033"
"2021-01-02T20:00:00.000Z","2021-01-02T21:00:00.000Z","16.83299"
"2021-01-02T21:00:00.000Z","2021-01-02T22:00:00.000Z","16.6"
"2021-01-02T22:00:00.000Z","2021-01-02T23:00:00.000Z","16.6"
"2021-01-02T23:00:00.000Z","2021-01-03T00:00:00.000Z","20.1"
"2021-01-03T00:00:00.000Z","2021-01-03T01:00:00.000Z","0"
"2021-01-03T01:00:00.000Z","2021-01-03T02:00:00.000Z","0"
"2021-01-03T02:00:00.000Z","2021-01-03T03:00:00.000Z","0"
"2021-01-03T03:00:00.000Z","2021-01-03T04:00:00.000Z","0"
"2021-01-03T04:00:00.000Z","2021-01-03T05:00:00.000Z","0"
"2021-01-03T05:00:00.000Z","2021-01-03T06:00:00.000Z","0"
"2021-01-03T06:00:00.000Z","2021-01-03T07:00:00.000Z","21.6"
"2021-01-03T07:00:00.000Z","2021-01-03T08:00:00.000Z","21.6"
"2021-01-03T08:00:00.000Z","2021-01-03T09:00:00.000Z","21.6"
