"Start time UTC","End time UTC","The sales price of production imbalance electricity"
"2020-12-31T21:00:00.000Z","2020-12-31T22:00:00.000Z","26.55"
"2020-12-31T22:00:00.000Z","2020-12-31T23:00:00.000Z","24.07"
"2020-12-31T23:00:00.000Z","2021-01-01T00:00:00.000Z","24.94999"
"2021-01-01T00:00:00.000Z","2021-01-01T01:00:00.000Z","24.35"
"2021-01-01T01:00:00.000Z","2021-01-01T02:00:00.000Z","23.98"
"2021-01-01T02:00:00.000Z","2021-01-01T03:00:00.000Z","23.71999"
"2021-01-01T03:00:00.000Z","2021-01-01T04:00:00.000Z","23.73"
"2021-01-01T04:00:00.000Z","2021-01-01T05:00:00.000Z","24.05999"
"2021-01-01T05:00:00.000Z","2021-01-01T06:00:00.000Z","24.44"
"2021-01-01T06:00:00.000Z","2021-01-01T07:00:00.000Z","24.93"
"2021-01-01T07:00:00.000Z","2021-01-01T08:00:00.000Z","24.89999"
"2021-01-01T08:00:00.000Z","2021-01-01T09:00:00.000Z","25.07"
"2021-01-01T09:00:00.000Z","2021-01-01T10:00:00.000Z","25.62999"
"2021-01-01T10:00:00.000Z","2021-01-01T11:00:00.000Z","25.92"
"2021-01-01T11:00:00.000Z","2021-01-01T12:00:00.000Z","26.12999"
"2021-01-01T12:00:00.000Z","2021-01-01T13:00:00.000Z","26.57"
"2021-01-01T13:00:00.000Z","2021-01-01T14:00:00.000Z","27.3"
"2021-01-01T14:00:00.000Z","2021-01-01T15:00:00.000Z","28.60999"
"2021-01-01T15:00:00.000Z","2021-01-01T16:00:00.000Z","30.25"
"2021-01-01T16:00:00.000Z","2021-01-01T17:00:00.000Z","30.19"
"2021-01-01T17:00:00.000Z","2021-01-01T18:00:00.000Z","28.82"
"2021-01-01T18:00:00.000Z","2021-01-01T19:00:00.000Z","28.25"
"2021-01-01T19:00:00.000Z","2021-01-01T20:00:00.000Z","27.32"
"2021-01-01T20:00:00.000Z","2021-01-01T21:00:00.000Z","28.25"
"2021-01-01T21:00:00.000Z","2021-01-01T22:00:00.000Z","27.01"
"2021-01-01T22:00:00.000Z","2021-01-01T23:00:00.000Z","25.64"
"2021-01-01T23:00:00.000Z","2021-01-02T00:00:00.000Z","25.59"
"2021-01-02T00:00:00.000Z","2021-01-02T01:00:00.000Z","24.91"
"2021-01-02T01:00:00.000Z","2021-01-02T02:00:00.000Z","24.73999"
"2021-01-02T02:00:00.000Z","2021-01-02T03:00:00.000Z","24.66"
"2021-01-02T03:00:00.000Z","2021-01-02T04:00:00.000Z","24.71999"
"2021-01-02T04:00:00.000Z","2021-01-02T05:00:00.000Z","24.92"
"2021-01-02T05:00:00.000Z","2021-01-02T06:00:00.000Z","25.62"
"2021-01-02T06:00:00.000Z","2021-01-02T07:00:00.000Z","26.19"
"2021-01-02T07:00:00.000Z","2021-01-02T08:00:00.000Z","28.02"
"2021-01-02T08:00:00.000Z","2021-01-02T09:00:00.000Z","27.64999"
"2021-01-02T09:00:00.000Z","2021-01-02T10:00:00.000Z","28.82999"
"2021-01-02T10:00:00.000Z","2021-01-02T11:00:00.000Z","29.76"
"2021-01-02T11:00:00.000Z","2021-01-02T12:00:00.000Z","28.62"
"2021-01-02T12:00:00.000Z","2021-01-02T13:00:00.000Z","28.71999"
"2021-01-02T13:00:00.000Z","2021-01-02T14:00:00.000Z","36.72999"
"2021-01-02T14:00:00.000Z","2021-01-02T15:00:00.000Z","46.04999"
"2021-01-02T15:00:00.000Z","2021-01-02T16:00:00.000Z","58.88"
"2021-01-02T16:00:00.000Z","2021-01-02T17:00:00.000Z","60.50999"
"2021-01-02T17:00:00.000Z","2021-01-02T18:00:00.000Z","59.84"
"2021-01-02T18:00:00.000Z","2021-01-02T19:00:00.000Z","40.14999"
"2021-01-02T19:00:00.000Z","2021-01-02T20:00:00.000Z","29.5"
"2021-01-02T20:00:00.000Z","2021-01-02T21:00:00.000Z","31.14999"
"2021-01-02T21:00:00.000Z","2021-01-02T22:00:00.000Z","27.91"
"2021-01-02T22:00:00.000Z","2021-01-02T23:00:00.000Z","25.94"
"2021-01-02T23:00:00.000Z","2021-01-03T00:00:00.000Z","27.14"
"2021-01-03T00:00:00.000Z","2021-01-03T01:00:00.000Z","27"
"2021-01-03T01:00:00.000Z","2021-01-03T02:00:00.000Z","27"
"2021-01-03T02:00:00.000Z","2021-01-03T03:00:00.000Z","23.57"
"2021-01-03T03:00:00.000Z","2021-01-03T04:00:00.000Z","23.48999"
"2021-01-03T04:00:00.000Z","2021-01-03T05:00:00.000Z","23.85"
"2021-01-03T05:00:00.000Z","2021-01-03T06:00:00.000Z","24.05"
"2021-01-03T06:00:00.000Z","2021-01-03T07:00:00.000Z","24.8"
"2021-01-03T07:00:00.000Z","2021-01-03T08:00:00.000Z","24.96999"
"2021-01-03T08:00:00.000Z","2021-01-03T09:00:00.000Z","25.64999"
"2021-01-03T09:00:00.000Z","2021-01-03T10:00:00.000Z","26"
"2021-01-03T10:00:00.000Z","2021-01-03T11:00:00.000Z","26.07"
"2021-01-03T11:00:00.000Z","2021-01-03T12:00:00.000Z","25.87"
"2021-01-03T12:00:00.000Z","2021-01-03T13:00:00.000Z","25.82999"
"2021-01-03T13:00:00.000Z","2021-01-03T14:00:00.000Z","26.02"
"2021-01-03T14:00:00.000Z","2021-01-03T15:00:00.000Z","26.5"
"2021-01-03T15:00:00.000Z","2021-01-03T16:00:00.000Z","28.05"
"2021-01-03T16:00:00.000Z","2021-01-03T17:00:00.000Z","28.53"
"2021-01-03T17:00:00.000Z","2021-01-03T18:00:00.000Z","28.17"
"2021-01-03T18:00:00.000Z","2021-01-03T19:00:00.000Z","27.92"
