Delivery Date,Hour Ending,Repeated Hour Flag,REGDN,REGUP,RRS,NSPIN,CROSSBORDER
2023-01-01,00:00,N,-6.71999,2.00999,73.2,92.59999,0.0
2023-01-01,01:00,N,1.37999,1.37999,63.6,0.0,0.0
2023-01-01,02:00,N,-6.0,0.09,63.6,0.0,0.0
2023-01-01,03:00,N,-6.0,0.08,63.6,0.0,0.0
2023-01-01,04:00,N,-6.0,0.05,63.6,0.0,0.0
2023-01-01,05:00,N,-0.4,0.08,74.0,91.0,0.0
2023-01-01,06:00,N,-2.5,0.09,72.7,91.0,0.0
2023-01-01,07:00,N,-5.0,0.53,74.0,91.0,0.0
2023-01-01,08:00,N,-5.0,2.02999,74.0,91.0,0.0
2023-01-01,09:00,N,-7.0,3.1,74.0,96.29999,0.0
2023-01-01,10:00,N,-7.0,4.42999,74.0,95.0,0.0
2023-01-01,11:00,N,-7.0,6.05999,74.0,91.0,0.0
2023-01-01,12:00,N,-5.0,6.05999,74.0,91.0,0.0
2023-01-01,13:00,N,-5.0,5.67999,74.0,91.0,0.0
2023-01-01,14:00,N,0.45,17.71,74.0,91.0,0.0
2023-01-01,15:00,N,9.50999,24.10999,74.0,91.0,0.0
2023-01-01,16:00,N,36.53999,132.19999,74.59999,85.59999,0.0
2023-01-01,17:00,N,46.03,150.0,74.59999,82.5,0.0
2023-01-01,18:00,N,54.22999,150.0,74.59999,75.4,0.0
2023-01-01,19:00,N,31.0,100.0,74.59999,82.09999,0.0
2023-01-01,20:00,N,29.0,48.04999,74.59999,85.9,0.0
2023-01-01,21:00,N,44.68,44.68,74.59999,91.0,0.0
2023-01-01,22:00,N,45.96,45.96,74.59999,90.79999,0.0
2023-01-01,23:00,N,35.0,35.0,73.9,91.0,0.0
2023-01-02,00:00,N,57.90999,57.90999,64.2,108.2,0.0
2023-01-02,01:00,N,51.67,76.43,64.2,0.0,0.0
2023-01-02,02:00,N,52.85999,85.62999,64.2,0.0,0.0
2023-01-02,03:00,N,32.27,44.15999,64.2,0.0,0.0
2023-01-02,04:00,N,50.07999,50.07999,64.2,0.0,0.0
2023-01-02,05:00,N,70.73,70.73,64.2,129.09999,0.0
2023-01-02,06:00,N,43.0,102.56,74.59999,112.8,2560.32
2023-01-02,07:00,N,77.0,138.19,71.59999,113.59999,32328.8
2023-01-02,08:00,N,145.97999,145.97999,71.59999,114.0,43535.95
2023-01-02,09:00,N,125.0,147.05,71.59999,105.0,40298.05
2023-01-02,10:00,N,115.09,145.61,71.59999,105.0,38478.3
2023-01-02,11:00,N,120.0,153.5,71.59999,91.0,32366.45
2023-01-02,12:00,N,144.38,175.0,71.59999,90.0,16453.05
2023-01-02,13:00,N,143.75999,160.0,71.59999,90.0,0.0
2023-01-02,14:00,N,122.0,148.19999,71.59999,91.0,0.0
2023-01-02,15:00,N,128.0,155.34,73.2,94.2,0.0
2023-01-02,16:00,N,162.88999,162.88999,73.2,91.0,0.0
2023-01-02,17:00,N,170.0,175.00999,73.2,90.0,0.0
2023-01-02,18:00,N,174.74,189.0,73.2,78.7,0.0
2023-01-02,19:00,N,164.46,164.46,73.2,73.0,0.0
2023-01-02,20:00,N,153.0,153.0,71.59999,65.0,0.0
2023-01-02,21:00,N,128.0,141.66999,71.59999,90.0,0.0
2023-01-02,22:00,N,53.78999,131.66999,71.2,90.0,0.0
2023-01-02,23:00,N,53.78999,118.06,64.2,90.0,0.0
2023-01-03,00:00,N,78.81,114.5,61.2,81.5,0.0
2023-01-03,01:00,N,73.93,118.73999,61.2,0.0,0.0
2023-01-03,02:00,N,73.93999,108.5,61.2,0.0,0.0
2023-01-03,03:00,N,71.43999,71.43999,61.2,0.0,0.0
2023-01-03,04:00,N,72.32999,103.0,61.2,0.0,0.0
2023-01-03,05:00,N,77.14,77.14,61.2,90.0,0.0
2023-01-03,06:00,N,102.48,152.0,71.59999,103.3,0.0
2023-01-03,07:00,N,154.96,210.0,73.2,120.0,63972.7
2023-01-03,08:00,N,163.91999,210.0,73.2,111.59999,74475.5
2023-01-03,09:00,N,167.06999,199.0,73.2,102.0,81578.2
2023-01-03,10:00,N,168.56999,197.0,73.2,102.0,89116.5
2023-01-03,11:00,N,169.49,196.0,73.2,102.0,92925.4
2023-01-03,12:00,N,164.5,184.5,73.2,95.0,83559.2
2023-01-03,13:00,N,160.91,180.0,73.2,95.0,77271.4
2023-01-03,14:00,N,163.06,201.0,73.2,100.0,78031.3
2023-01-03,15:00,N,167.72999,200.0,73.2,100.0,72861.0
2023-01-03,16:00,N,166.61,196.0,73.2,100.0,74067.9
2023-01-03,17:00,N,170.72,250.0,73.2,95.59999,82292.7
2023-01-03,18:00,N,168.93,250.0,73.2,95.0,72905.7
2023-01-03,19:00,N,160.99,210.0,73.2,90.0,59704.3
2023-01-03,20:00,N,149.62,149.62,71.59999,85.0,44178.5
2023-01-03,21:00,N,131.05,131.05,71.59999,90.0,16881.7
2023-01-03,22:00,N,114.27,122.62,61.2,81.7,0.0
2023-01-03,23:00,N,93.65999,122.59999,64.2,88.0,0.0
2023-01-04,00:00,N,82.87999,105.0,64.2,80.0,0.0
2023-01-04,01:00,N,78.84,105.0,64.2,0.0,0.0
2023-01-04,02:00,N,69.93,99.73,64.2,0.0,0.0
2023-01-04,03:00,N,69.26,82.06999,64.2,0.0,0.0
2023-01-04,04:00,N,58.0,71.75,64.2,0.0,0.0
2023-01-04,05:00,N,45.0,81.73,64.2,80.29999,0.0
2023-01-04,06:00,N,112.76,112.76,71.59999,85.0,89950.75
2023-01-04,07:00,N,126.72,137.5,73.2,85.0,119539.45
