Time,c/kWh
2021-01-01 00:00,3.84
2021-01-02 00:00,4.66
2021-01-03 00:00,3.8
2021-01-04 00:00,5.95
2021-01-05 00:00,6.44
2021-01-06 00:00,5.66
2021-01-07 00:00,8.88
2021-01-08 00:00,10.11
2021-01-09 00:00,7.53
2021-01-10 00:00,5.8
2021-01-11 00:00,5.95
2021-01-12 00:00,5.99
2021-01-13 00:00,6.91
2021-01-14 00:00,10.09
2021-01-15 00:00,10.29
2021-01-16 00:00,8.37
2021-01-17 00:00,7.17
2021-01-18 00:00,8.32
2021-01-19 00:00,8.03
2021-01-20 00:00,7.45
2021-01-21 00:00,5.32
2021-01-22 00:00,4.27
2021-01-23 00:00,5.27
2021-01-24 00:00,6.48
2021-01-25 00:00,8.08
2021-01-26 00:00,8.06
2021-01-27 00:00,7.75
2021-01-28 00:00,7.9
2021-01-29 00:00,7.49
2021-01-30 00:00,6.65
2021-01-31 00:00,6.56
2021-02-01 00:00,11.35
2021-02-02 00:00,9.08
2021-02-03 00:00,7.43
2021-02-04 00:00,8.01
2021-02-05 00:00,10.45
2021-02-06 00:00,6.26
2021-02-07 00:00,5.64
2021-02-08 00:00,7.89
2021-02-09 00:00,9.46
2021-02-10 00:00,9.7
2021-02-11 00:00,12.95
2021-02-12 00:00,10.84
2021-02-13 00:00,7.2
2021-02-14 00:00,6.37
2021-02-15 00:00,9
2021-02-16 00:00,8.48
2021-02-17 00:00,10.46
2021-02-18 00:00,9.16
2021-02-19 00:00,8.07
2021-02-20 00:00,6.54
2021-02-21 00:00,4.89
2021-02-22 00:00,6.33
2021-02-23 00:00,5.75
2021-02-24 00:00,5.27
2021-02-25 00:00,4.74
2021-02-26 00:00,4.88
2021-02-27 00:00,4.62
2021-02-28 00:00,4.16
2021-03-01 00:00,4.85
2021-03-02 00:00,5.56
2021-03-03 00:00,5.74
2021-03-04 00:00,6.14
2021-03-05 00:00,7.21
2021-03-06 00:00,3.43
2021-03-07 00:00,3.86
2021-03-08 00:00,7.54
2021-03-09 00:00,7.33
2021-03-10 00:00,8.57
2021-03-11 00:00,4.97
2021-03-12 00:00,4.94
2021-03-13 00:00,4.29
2021-03-14 00:00,4.49
2021-03-15 00:00,7.18
2021-03-16 00:00,7.18
2021-03-17 00:00,6.79
2021-03-18 00:00,6.69
2021-03-19 00:00,6.99
2021-03-20 00:00,3.48
2021-03-21 00:00,2.84
2021-03-22 00:00,6.54
2021-03-23 00:00,5.09
2021-03-24 00:00,4.33
2021-03-25 00:00,5.94
2021-03-26 00:00,5.48
2021-03-27 00:00,2.88
2021-03-28 00:00,3.01
2021-03-29 00:00,3.5
2021-03-30 00:00,3.95
2021-03-31 00:00,4.86
2021-04-01 00:00,4.95
2021-04-02 00:00,4.33
2021-04-03 00:00,3.14
2021-04-04 00:00,1.89
2021-04-05 00:00,1.47
2021-04-06 00:00,4.61
2021-04-07 00:00,6.39
2021-04-08 00:00,6.66
2021-04-09 00:00,3.07
2021-04-10 00:00,3.06
2021-04-11 00:00,3.83
2021-04-12 00:00,5.65
2021-04-13 00:00,6.76
2021-04-14 00:00,7.61
2021-04-15 00:00,7.28
2021-04-16 00:00,6.53
2021-04-17 00:00,3.87
2021-04-18 00:00,3.7
2021-04-19 00:00,6.56
2021-04-20 00:00,6.54
2021-04-21 00:00,4.39
2021-04-22 00:00,4.64
2021-04-23 00:00,3.71
2021-04-24 00:00,2.81
2021-04-25 00:00,2.61
2021-04-26 00:00,7.63
2021-04-27 00:00,8.19
2021-04-28 00:00,8.09
2021-04-29 00:00,7.54
2021-04-30 00:00,6.97
2021-05-01 00:00,6.36
2021-05-02 00:00,6.25
2021-05-03 00:00,8.12
2021-05-04 00:00,8.32
2021-05-05 00:00,6.23
2021-05-06 00:00,8.16
2021-05-07 00:00,8.72
2021-05-08 00:00,6.47
2021-05-09 00:00,3.81
2021-05-10 00:00,5.94
2021-05-11 00:00,5.72
2021-05-12 00:00,6.38
2021-05-13 00:00,4.97
2021-05-14 00:00,5.35
2021-05-15 00:00,3.27
2021-05-16 00:00,4.27
2021-05-17 00:00,7.99
2021-05-18 00:00,8.23
2021-05-19 00:00,7.91
2021-05-20 00:00,6.31
2021-05-21 00:00,4.94
2021-05-22 00:00,4.9
2021-05-23 00:00,3.25
2021-05-24 00:00,7.36
2021-05-25 00:00,7.77
2021-05-26 00:00,6.37
2021-05-27 00:00,7.32
2021-05-28 00:00,7.43
2021-05-29 00:00,5.83
2021-05-30 00:00,4.1
2021-05-31 00:00,6.86
2021-06-01 00:00,8.02
2021-06-02 00:00,8.52
2021-06-03 00:00,7.62
2021-06-04 00:00,7.84
2021-06-05 00:00,5.87
2021-06-06 00:00,5.68
2021-06-07 00:00,8.77
2021-06-08 00:00,8.83
2021-06-09 00:00,8.72
2021-06-10 00:00,9.22
2021-06-11 00:00,7.78
2021-06-12 00:00,4.51
2021-06-13 00:00,2.57
2021-06-14 00:00,8.75
2021-06-15 00:00,8.46
2021-06-16 00:00,11.14
2021-06-17 00:00,9.28
2021-06-18 00:00,7.66
2021-06-19 00:00,5.75
2021-06-20 00:00,4.76
2021-06-21 00:00,6.48
2021-06-22 00:00,9.45
2021-06-23 00:00,9.98
2021-06-24 00:00,8.38
2021-06-25 00:00,4.76
2021-06-26 00:00,4.44
2021-06-27 00:00,4.48
2021-06-28 00:00,9.3
2021-06-29 00:00,10.51
2021-06-30 00:00,9.07
2021-07-01 00:00,10.85
2021-07-02 00:00,11.88
2021-07-03 00:00,9.08
2021-07-04 00:00,8.48
2021-07-05 00:00,10.76
2021-07-06 00:00,10.65
2021-07-07 00:00,11.87
2021-07-08 00:00,10.22
2021-07-09 00:00,11.43
2021-07-10 00:00,10.11
2021-07-11 00:00,9.01
2021-07-12 00:00,12.04
2021-07-13 00:00,12.78
2021-07-14 00:00,14.04
2021-07-15 00:00,13.33
2021-07-16 00:00,11.69
