"Start time UTC","End time UTC","Commercial transmission of electricity between FI-SE1","Commercial transmission of electricity between FI-SE3","Commercial transmission of electricity between FI-EE"
"2019-12-31T23:00:00.000Z","2020-01-01T00:00:00.000Z","-560.2","-173.5","358"
"2020-01-01T00:00:00.000Z","2020-01-01T01:00:00.000Z","-497.69999","-291.89999","354"
"2020-01-01T01:00:00.000Z","2020-01-01T02:00:00.000Z","-480.8","-319.69999","358"
"2020-01-01T02:00:00.000Z","2020-01-01T03:00:00.000Z","-307.19999","-604","358"
"2020-01-01T03:00:00.000Z","2020-01-01T04:00:00.000Z","-329.39999","-656.1","358"
"2020-01-01T04:00:00.000Z","2020-01-01T05:00:00.000Z","-35.6","-730.89999","354.1"
"2020-01-01T05:00:00.000Z","2020-01-01T06:00:00.000Z","-166.09999","-587.5","300.8"
"2020-01-01T06:00:00.000Z","2020-01-01T07:00:00.000Z","-304","-354.19999","267.8"
"2020-01-01T07:00:00.000Z","2020-01-01T08:00:00.000Z","-417.19999","-187.09999","291.39999"
"2020-01-01T08:00:00.000Z","2020-01-01T09:00:00.000Z","-319.69999","-167","299.69999"
"2020-01-01T09:00:00.000Z","2020-01-01T10:00:00.000Z","-364.89999","29.8","287.3"
"2020-01-01T10:00:00.000Z","2020-01-01T11:00:00.000Z","-417.6","115.09999","326.89999"
"2020-01-01T11:00:00.000Z","2020-01-01T12:00:00.000Z","-352.1","21.1","203.59999"
"2020-01-01T12:00:00.000Z","2020-01-01T13:00:00.000Z","-456.39999","21.1","252.09999"
"2020-01-01T13:00:00.000Z","2020-01-01T14:00:00.000Z","-674.79999","-39.2","278.6"
"2020-01-01T14:00:00.000Z","2020-01-01T15:00:00.000Z","-767.1","111.9","308.6"
"2020-01-01T15:00:00.000Z","2020-01-01T16:00:00.000Z","-541.39999","4","310.39999"
"2020-01-01T16:00:00.000Z","2020-01-01T17:00:00.000Z","-505.1","76","317"
"2020-01-01T17:00:00.000Z","2020-01-01T18:00:00.000Z","-502.19999","94.5","338.89999"
"2020-01-01T18:00:00.000Z","2020-01-01T19:00:00.000Z","-404","143.3","358"
"2020-01-01T19:00:00.000Z","2020-01-01T20:00:00.000Z","-183","188.19999","358"
"2020-01-01T20:00:00.000Z","2020-01-01T21:00:00.000Z","-601.2","106.59999","358"
"2020-01-01T21:00:00.000Z","2020-01-01T22:00:00.000Z","-680.39999","-24.8","308"
"2020-01-01T22:00:00.000Z","2020-01-01T23:00:00.000Z","-560.5","32.29999","358"
"2020-01-01T23:00:00.000Z","2020-01-02T00:00:00.000Z","-83.29999","-134.3","308"
"2020-01-02T00:00:00.000Z","2020-01-02T01:00:00.000Z","-86.59999","-4.7","308"
"2020-01-02T01:00:00.000Z","2020-01-02T02:00:00.000Z","-41.79999","-185","308"
"2020-01-02T02:00:00.000Z","2020-01-02T03:00:00.000Z","-68.7","-179.09999","295.1"
"2020-01-02T03:00:00.000Z","2020-01-02T04:00:00.000Z","-184.4","-242.59999","334.6"
"2020-01-02T04:00:00.000Z","2020-01-02T05:00:00.000Z","-512.6","-121.2","286.5"
"2020-01-02T05:00:00.000Z","2020-01-02T06:00:00.000Z","-777.29999","-160","358"
"2020-01-02T06:00:00.000Z","2020-01-02T07:00:00.000Z","-659.2","-491.5","233.3"
"2020-01-02T07:00:00.000Z","2020-01-02T08:00:00.000Z","-761.39999","-386.19999","302.5"
"2020-01-02T08:00:00.000Z","2020-01-02T09:00:00.000Z","-872.6","-144.4","314"
"2020-01-02T09:00:00.000Z","2020-01-02T10:00:00.000Z","-825.39999","3.29999","322.69999"
"2020-01-02T10:00:00.000Z","2020-01-02T11:00:00.000Z","-800.5","-121.7","313"
