cat,val1
01.01.2021+00:0000:00,0.00
01.01.2021+00:0001:00,0.00
01.01.2021+00:0002:00,0.00
01.01.2021+00:0003:00,0.00
01.01.2021+00:0004:00,0.00
01.01.2021+00:0005:00,0.00
01.01.2021+00:0006:00,0.00
01.01.2021+00:0007:00,0.00
01.01.2021+00:0008:00,0.00
01.01.2021+00:0009:00,0.00
01.01.2021+00:0010:00,4460.24
01.01.2021+00:0011:00,11399.52
01.01.2021+00:0012:00,13126.72
01.01.2021+00:0013:00,14244.32
01.01.2021+00:0014:00,13705.84
01.01.2021+00:0015:00,17129.76
01.01.2021+00:0016:00,21813.52
01.01.2021+00:0017:00,25603.20
01.01.2021+00:0018:00,24577.04
01.01.2021+00:0019:00,27929.84
01.01.2021+00:0020:00,28061.92
01.01.2021+00:0021:00,22931.12
01.01.2021+00:0022:00,18501.36
01.01.2021+00:0023:00,0.00
02.01.2021+00:0000:00,0.00
02.01.2021+00:0001:00,0.00
02.01.2021+00:0002:00,0.00
02.01.2021+00:0003:00,0.00
02.01.2021+00:0004:00,0.00
02.01.2021+00:0005:00,0.00
02.01.2021+00:0006:00,4500.88
02.01.2021+00:0007:00,0.00
02.01.2021+00:0008:00,15524.48
02.01.2021+00:0009:00,20523.20
02.01.2021+00:0010:00,22270.72
02.01.2021+00:0011:00,21478.24
02.01.2021+00:0012:00,25532.08
02.01.2021+00:0013:00,22382.48
02.01.2021+00:0014:00,12954.00
02.01.2021+00:0015:00,6207.76
02.01.2021+00:0016:00,0.00
02.01.2021+00:0017:00,0.00
02.01.2021+00:0018:00,1747.52
02.01.2021+00:0019:00,16276.32
02.01.2021+00:0020:00,28072.08
02.01.2021+00:0021:00,21793.20
02.01.2021+00:0022:00,19527.52
02.01.2021+00:0023:00,13837.92
03.01.2021+00:0000:00,0.00
03.01.2021+00:0001:00,0.00
03.01.2021+00:0002:00,0.00
03.01.2021+00:0003:00,0.00
03.01.2021+00:0004:00,0.00
03.01.2021+00:0005:00,0.00
03.01.2021+00:0006:00,0.00
03.01.2021+00:0007:00,0.00
03.01.2021+00:0008:00,0.00
03.01.2021+00:0009:00,0.00
03.01.2021+00:0010:00,10810.24
03.01.2021+00:0011:00,10830.56
03.01.2021+00:0012:00,11135.36
03.01.2021+00:0013:00,10647.68
03.01.2021+00:0014:00,9682.48
03.01.2021+00:0015:00,10424.16
03.01.2021+00:0016:00,15524.48
03.01.2021+00:0017:00,16174.72
03.01.2021+00:0018:00,15422.88
03.01.2021+00:0019:00,14762.48
03.01.2021+00:0020:00,9540.24
03.01.2021+00:0021:00,6776.72
03.01.2021+00:0022:00,0.00
03.01.2021+00:0023:00,0.00
04.01.2021+00:0000:00,0.00
04.01.2021+00:0001:00,0.00
04.01.2021+00:0002:00,0.00
04.01.2021+00:0003:00,0.00
04.01.2021+00:0004:00,0.00
04.01.2021+00:0005:00,0.00
04.01.2021+00:0006:00,0.00
04.01.2021+00:0007:00,0.00
04.01.2021+00:0008:00,0.00
04.01.2021+00:0009:00,5049.52
04.01.2021+00:0010:00,0.00
04.01.2021+00:0011:00,0.00
04.01.2021+00:0012:00,0.00
04.01.2021+00:0013:00,0.00
04.01.2021+00:0014:00,0.00
04.01.2021+00:0015:00,0.00
04.01.2021+00:0016:00,0.00
04.01.2021+00:0017:00,0.00
04.01.2021+00:0018:00,0.00
04.01.2021+00:0019:00,0.00
04.01.2021+00:0020:00,0.00
04.01.2021+00:0021:00,0.00
04.01.2021+00:0022:00,0.00
04.01.2021+00:0023:00,0.00
05.01.2021+00:0000:00,0.00
05.01.2021+00:0001:00,0.00
05.01.2021+00:0002:00,0.00
05.01.2021+00:0003:00,0.00
05.01.2021+00:0004:00,0.00
05.01.2021+00:0005:00,0.00
05.01.2021+00:0006:00,0.00
05.01.2021+00:0007:00,0.00
05.01.2021+00:0008:00,0.00
05.01.2021+00:0009:00,0.00
05.01.2021+00:0010:00,0.00
05.01.2021+00:0011:00,0.00
05.01.2021+00:0012:00,0.00
05.01.2021+00:0013:00,0.00
05.01.2021+00:0014:00,0.00
05.01.2021+00:0015:00,0.00
05.01.2021+00:0016:00,0.00
05.01.2021+00:0017:00,0.00
05.01.2021+00:0018:00,0.00
05.01.2021+00:0019:00,0.00
05.01.2021+00:0020:00,0.00
05.01.2021+00:0021:00,0.00
05.01.2021+00:0022:00,0.00
05.01.2021+00:0023:00,0.00
06.01.2021+00:0000:00,0.00
06.01.2021+00:0001:00,0.00
06.01.2021+00:0002:00,0.00
06.01.2021+00:0003:00,0.00
06.01.2021+00:0004:00,0.00
06.01.2021+00:0005:00,0.00
06.01.2021+00:0006:00,0.00
06.01.2021+00:0007:00,0.00
06.01.2021+00:0008:00,0.00
06.01.2021+00:0009:00,0.00
06.01.2021+00:0010:00,0.00
06.01.2021+00:0011:00,0.00
06.01.2021+00:0012:00,0.00
06.01.2021+00:0013:00,0.00
06.01.2021+00:0014:00,0.00
06.01.2021+00:0015:00,0.00
06.01.2021+00:0016:00,0.00
06.01.2021+00:0017:00,0.00
06.01.2021+00:0018:00,0.00
06.01.2021+00:0019:00,0.00
06.01.2021+00:0020:00,0.00
06.01.2021+00:0021:00,0.00
06.01.2021+00:0022:00,0.00
06.01.2021+00:0023:00,0.00
07.01.2021+00:0000:00,0.00
07.01.2021+00:0001:00,0.00
07.01.2021+00:0002:00,0.00
07.01.2021+00:0003:00,0.00
07.01.2021+00:0004:00,0.00
07.01.2021+00:0005:00,0.00
07.01.2021+00:0006:00,0.00
07.01.2021+00:0007:00,0.00
07.01.2021+00:0008:00,0.00
07.01.2021+00:0009:00,0.00
07.01.2021+00:0010:00,0.00
07.01.2021+00:0011:00,0.00
07.01.2021+00:0012:00,0.00
07.01.2021+00:0013:00,0.00
07.01.2021+00:0014:00,0.00
07.01.2021+00:0015:00,0.00
07.01.2021+00:0016:00,0.00
07.01.2021+00:0017:00,0.00
07.01.2021+00:0018:00,0.00
07.01.2021+00:0019:00,0.00
07.01.2021+00:0020:00,0.00
07.01.2021+00:0021:00,0.00
07.01.2021+00:0022:00,0.00
07.01.2021+00:0023:00,0.00
08.01.2021+00:0000:00,0.00
08.01.2021+00:0001:00,0.00
08.01.2021+00:0002:00,0.00
08.01.2021+00:0003:00,0.00
08.01.2021+00:0004:00,0.00
08.01.2021+00:0005:00,0.00
08.01.2021+00:0006:00,0.00
08.01.2021+00:0007:00,0.00
08.01.2021+00:0008:00,0.00
08.01.2021+00:0009:00,0.00
08.01.2021+00:0010:00,0.00
08.01.2021+00:0011:00,0.00
08.01.2021+00:0012:00,0.00
08.01.2021+00:0013:00,0.00
08.01.2021+00:0014:00,0.00
08.01.2021+00:0015:00,0.00
08.01.2021+00:0016:00,0.00
08.01.2021+00:0017:00,0.00
08.01.2021+00:0018:00,0.00
08.01.2021+00:0019:00,0.00
08.01.2021+00:0020:00,0.00
08.01.2021+00:0021:00,0.00
08.01.2021+00:0022:00,0.00
08.01.2021+00:0023:00,0.00
09.01.2021+00:0000:00,0.00
09.01.2021+00:0001:00,0.00
09.01.2021+00:0002:00,0.00
09.01.2021+00:0003:00,0.00
09.01.2021+00:0004:00,0.00
09.01.2021+00:0005:00,0.00
09.01.2021+00:0006:00,0.00
09.01.2021+00:0007:00,0.00
09.01.2021+00:0008:00,0.00
09.01.2021+00:0009:00,0.00
09.01.2021+00:0010:00,0.00
09.01.2021+00:0011:00,0.00
09.01.2021+00:0012:00,0.00
09.01.2021+00:0013:00,0.00
09.01.2021+00:0014:00,0.00
09.01.2021+00:0015:00,0.00
09.01.2021+00:0016:00,0.00
09.01.2021+00:0017:00,0.00
09.01.2021+00:0018:00,0.00
09.01.2021+00:0019:00,0.00
09.01.2021+00:0020:00,0.00
09.01.2021+00:0021:00,0.00
09.01.2021+00:0022:00,0.00
09.01.2021+00:0023:00,0.00
10.01.2021+00:0000:00,0.00
10.01.2021+00:0001:00,0.00
10.01.2021+00:0002:00,0.00
10.01.2021+00:0003:00,0.00
10.01.2021+00:0004:00,0.00
10.01.2021+00:0005:00,0.00
10.01.2021+00:0006:00,0.00
10.01.2021+00:0007:00,0.00
10.01.2021+00:0008:00,0.00
10.01.2021+00:0009:00,0.00
10.01.2021+00:0010:00,0.00
10.01.2021+00:0011:00,0.00
10.01.2021+00:0012:00,0.00
10.01.2021+00:0013:00,0.00
10.01.2021+00:0014:00,0.00
