cat,val1
08.01.2021+00:0000:00,0.00
08.01.2021+00:0001:00,0.00
08.01.2021+00:0002:00,0.00
08.01.2021+00:0003:00,0.00
08.01.2021+00:0004:00,0.00
08.01.2021+00:0005:00,0.00
08.01.2021+00:0006:00,0.00
08.01.2021+00:0007:00,0.00
08.01.2021+00:0008:00,0.00
08.01.2021+00:0009:00,0.00
08.01.2021+00:0010:00,0.00
08.01.2021+00:0011:00,0.00
08.01.2021+00:0012:00,0.00
08.01.2021+00:0013:00,0.00
08.01.2021+00:0014:00,0.00
08.01.2021+00:0015:00,0.00
08.01.2021+00:0016:00,0.00
08.01.2021+00:0017:00,0.00
08.01.2021+00:0018:00,0.00
08.01.2021+00:0019:00,0.00
08.01.2021+00:0020:00,0.00
08.01.2021+00:0021:00,0.00
08.01.2021+00:0022:00,0.00
08.01.2021+00:0023:00,0.00
09.01.2021+00:0000:00,0.00
09.01.2021+00:0001:00,0.00
09.01.2021+00:0002:00,0.00
09.01.2021+00:0003:00,0.00
09.01.2021+00:0004:00,0.00
09.01.2021+00:0005:00,0.00
09.01.2021+00:0006:00,0.00
09.01.2021+00:0007:00,0.00
09.01.2021+00:0008:00,0.00
09.01.2021+00:0009:00,0.00
09.01.2021+00:0010:00,0.00
09.01.2021+00:0011:00,0.00
09.01.2021+00:0012:00,0.00
09.01.2021+00:0013:00,0.00
09.01.2021+00:0014:00,0.00
09.01.2021+00:0015:00,0.00
09.01.2021+00:0016:00,0.00
09.01.2021+00:0017:00,20097.60
09.01.2021+00:0018:00,34821.00
09.01.2021+00:0019:00,39702.30
09.01.2021+00:0020:00,15836.40
09.01.2021+00:0021:00,11432.10
09.01.2021+00:0022:00,5930.70
09.01.2021+00:0023:00,0.00
10.01.2021+00:0000:00,0.00
10.01.2021+00:0001:00,0.00
10.01.2021+00:0002:00,0.00
10.01.2021+00:0003:00,0.00
10.01.2021+00:0004:00,0.00
10.01.2021+00:0005:00,0.00
10.01.2021+00:0006:00,0.00
10.01.2021+00:0007:00,0.00
10.01.2021+00:0008:00,0.00
10.01.2021+00:0009:00,0.00
10.01.2021+00:0010:00,0.00
10.01.2021+00:0011:00,0.00
10.01.2021+00:0012:00,0.00
10.01.2021+00:0013:00,0.00
10.01.2021+00:0014:00,0.00
10.01.2021+00:0015:00,0.00
10.01.2021+00:0016:00,0.00
10.01.2021+00:0017:00,0.00
10.01.2021+00:0018:00,0.00
10.01.2021+00:0019:00,0.00
10.01.2021+00:0020:00,0.00
10.01.2021+00:0021:00,0.00
